,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exports of Liquefied Natural Gas (LNG) ,,,,,,,,,,,,,,,,,,,,,
,Month of Departure,,,Country of LNG Destination,Exporter,,Licence or Order,Mode of Transportation,Export Terminal,,Vessel,,,LNG Volume (Gas Equivalent) (10³ m³),Export Value ($CDN),Average Price ($CDN/GJ),,,,,
,2025-07,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-055-2023,Truck,"Jackman,ME",,,,,  285.0,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-055-2023,Truck,"Highgate Springs,VT",,,,,  273.8,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-055-2023,Truck,"Highgate Springs,VT",,,,,  76.4,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 2 037.8,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,, 1 787.8,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,,  864.6,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,,  715.9,Confidential,Confidential,,,,,
,2025-08,,,United States,Cryopeak Energy Solutions Corporation,,GO-050-2025,Truck,"Alcan,AK",,,,,  19.7,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-055-2023,Truck,"Jackman,ME",,,,,  228.6,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-055-2023,Truck,"Highgate Springs,VT",,,,,  192.6,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 872.0,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,,  473.9,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 584.6,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,, 1 888.7,Confidential,Confidential,,,,,
,2025-09,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Jackman,ME",,,,,  498.6,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Highgate Springs,VT",,,,,  192.8,Confidential,Confidential,,,,,
,,,,United States,Sapphire Gas Solutions,,GO-023-2024,Truck,"Blaine,WA",,,,,  273.4,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 181.2,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 882.4,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,, 1 858.4,Confidential,Confidential,,,,,
,2025-10,,,United States,Cryopeak Energy Solutions Corporation,,GO-050-2025,Truck,"Alcan,AK",,,,,  361.2,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Jackman,ME",,,,,  704.0,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Highgate Springs,VT",,,,,  221.0,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Highgate Springs,VT",,,,,  165.5,Confidential,Confidential,,,,,
,,,,United States,Sapphire Gas Solutions,,GO-023-2024,Truck,"Blaine,WA",,,,,  225.0,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 378.0,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN LIONS,,, 1 915.4,Confidential,Confidential,,,,,
,,,,China,True North Energy Corporation,,GO-057-2025,Marine,"Delta,BC",,HMM VANCOUVER V 0301W,,,  583.1,Confidential,Confidential,,,,,
,,,,China,True North Energy Corporation,,GO-057-2025,Marine,"Delta,BC",,HYUNDAI SUPREME V 0153W,,,  486.0,Confidential,Confidential,,,,,
,,,,China,True North Energy Corporation,,GO-057-2025,Marine,"Delta,BC",,HYUNDAI SUPREME V 0153W,,,  632.2,Confidential,Confidential,,,,,
,2025-11,,,United States,Cryopeak Energy Solutions Corporation,,GO-050-2025,Truck,"Alcan,AK",,,,,  276.3,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Jackman,ME",,,,, 1 121.9,Confidential,Confidential,,,,,
,,,,United States,"Gaz Métro GNL inc. à titre d'associée commanditée de Gaz Métro GNL, S.E.C.",,GO-063-2025,Truck,"Highgate Springs,VT",,,,,  27.6,Confidential,Confidential,,,,,
,,,,United States,Sapphire Gas Solutions,,GO-023-2024,Truck,"Blaine,WA",,,,,  69.3,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN BAKER,,, 1 960.8,Confidential,Confidential,,,,,
,,,,United States,Seaspan Energy Ltd.,,GO-073-2024,Marine,"Vancouver,BC",,SEASPAN GARIBALDI,,, 1 744.3,Confidential,Confidential,,,,,
,2025 Total,,,,,,,,,,,,, 36 310.5,Confidential,Confidential,,,,,
,,,,,,,,,,,,,,,,,,,,,
"For further information, please contact: Regulatory Information and Analysis Team, Strategy and Analysis Business Unit, Canada Energy Regulator",,,,,,,,,,,,,Date: 2026-01-30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Telephone: 1-877-825-8441 (Canada and U.S.),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Email:,,,cts-ssp@cer-rec.gc.ca,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
